variant,variant_label,llm_compression_effective,id,question_type,difficulty,question,project_id,candidate_count,expanded_candidate_count,context_items,context_chars,context_text_chars,context_original_text_chars,estimated_context_tokens,compression_text_ratio,rule_compressed_items,rule_fallback_kept_items,llm_compressed_items,llm_fallback_kept_items,retrieval_ms,total_ms,error,candidate_recall@1,candidate_precision@1,candidate_hit_rate@1,candidate_ndcg@1,candidate_recall@3,candidate_precision@3,candidate_hit_rate@3,candidate_ndcg@3,candidate_recall@5,candidate_precision@5,candidate_hit_rate@5,candidate_ndcg@5,candidate_recall@8,candidate_precision@8,candidate_hit_rate@8,candidate_ndcg@8,context_recall@1,context_precision@1,context_hit_rate@1,context_ndcg@1,context_recall@3,context_precision@3,context_hit_rate@3,context_ndcg@3,context_recall@5,context_precision@5,context_hit_rate@5,context_ndcg@5,context_recall@8,context_precision@8,context_hit_rate@8,context_ndcg@8
single_query_no_compression,单查询，无上下文压缩,False,q001,safety_management,medium,《广州市增城区住房和城乡建设局文件》中关于安全管理或安全隐患的主要要求是什么？,3,8,10,5,3931,3526,3526,1969,1.0,0,0,0,0,4838.35,13199.55,,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.6309297535714575,1.0,0.2,1.0,0.6309297535714575,1.0,0.125,1.0,0.6309297535714575,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.6309297535714575,1.0,0.2,1.0,0.6309297535714575,1.0,0.125,1.0,0.6309297535714575
single_query_no_compression,单查询，无上下文压缩,False,q002,safety_management,medium,《南京市关于2022年施工现场消防安全及高大模板支撑体系专项检查的情况通报》中关于安全管理或安全隐患的主要要求是什么？,3,8,21,8,6217,5525,5525,3134,1.0,0,0,0,0,2366.79,9500.98,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single_query_no_compression,单查询，无上下文压缩,False,q003,table_lookup,medium,根据《南通市地方标准-水运工程施工安全管理台账编制导则》中的表格，安全检查或专项施工相关要求是什么？,3,8,22,8,6279,5544,5544,3139,1.0,0,0,0,0,2121.75,8955.61,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single_query_no_compression,单查询，无上下文压缩,False,q004,table_lookup,medium,根据《苏州市建设工程施工阶段监理工作检查表》中的表格，质量验收、检测或允许偏差相关要求是什么？,3,8,23,8,6032,5351,5351,2915,1.0,0,0,0,0,2141.09,9029.11,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single_query_no_compression,单查询，无上下文压缩,False,q005,safety_management,medium,《惠安县林口至聚龙道路景观环境综合提升工程勘察设计施工总承包(epc)项目工地会议纪要》中关于安全管理或安全隐患的主要要求是什么？,3,8,17,5,3741,3202,3202,1730,1.0,0,0,0,0,2150.78,8897.08,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multi_query_no_compression,Multi-Query，无上下文压缩,False,q001,safety_management,medium,《广州市增城区住房和城乡建设局文件》中关于安全管理或安全隐患的主要要求是什么？,3,8,10,5,3931,3526,3526,1969,1.0,0,0,0,0,13182.34,20086.93,,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.6309297535714575,1.0,0.2,1.0,0.6309297535714575,1.0,0.125,1.0,0.6309297535714575,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.6309297535714575,1.0,0.2,1.0,0.6309297535714575,1.0,0.125,1.0,0.6309297535714575
multi_query_no_compression,Multi-Query，无上下文压缩,False,q002,safety_management,medium,《南京市关于2022年施工现场消防安全及高大模板支撑体系专项检查的情况通报》中关于安全管理或安全隐患的主要要求是什么？,3,8,21,8,6217,5525,5525,3134,1.0,0,0,0,0,2138.29,8922.14,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multi_query_no_compression,Multi-Query，无上下文压缩,False,q003,table_lookup,medium,根据《南通市地方标准-水运工程施工安全管理台账编制导则》中的表格，安全检查或专项施工相关要求是什么？,3,8,22,8,6279,5544,5544,3139,1.0,0,0,0,0,2398.75,9511.76,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multi_query_no_compression,Multi-Query，无上下文压缩,False,q004,table_lookup,medium,根据《苏州市建设工程施工阶段监理工作检查表》中的表格，质量验收、检测或允许偏差相关要求是什么？,3,8,23,8,6032,5351,5351,2915,1.0,0,0,0,0,2269.62,8851.38,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multi_query_no_compression,Multi-Query，无上下文压缩,False,q005,safety_management,medium,《惠安县林口至聚龙道路景观环境综合提升工程勘察设计施工总承包(epc)项目工地会议纪要》中关于安全管理或安全隐患的主要要求是什么？,3,8,17,5,3741,3202,3202,1730,1.0,0,0,0,0,2038.31,8903.18,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
